,Artist,Album,style,genres,labels
201,Space Drum Meditation,SDM005,"['Techno', 'Tribal', 'Experimental']",['Electronic'],Space Drum Meditation
202,Space Drum Meditation,Space Drum Meditation - SDM004,"['Tribal', 'Techno']",['Electronic'],Space Drum Meditation
203,Randomer & Hodge,Second Freeze _ Simple As,"['Techno', 'Tribal']",['Electronic'],Dnuos Ytivil
205,The Prince Stoner,MYSTB003 __ THE PRINCE STONER,"['Dub', 'Abstract']","['Electronic', 'Reggae']",Mystery Booms
206,The Prince Stoner,Stoner's Dub,"['Dub', 'Experimental']","['Electronic', 'Reggae']",Groovedge Records
207,Bengal Sound,Never Mind _ Short Stay,"['Dubstep', 'Grime']",['Electronic'],Bandulu Records
208,Secret Rave,SECRET RAVE 01,"['Techno', 'Breaks', 'Hardcore']",['Electronic'],Art-Aud
209,John T. Gast,5GTOUR,"['Dub', 'Techno', 'Experimental', 'Grime']",['Electronic'],5 Gate Temple
210,John T. Gast,KINGS X _ EXTENDED MIX,"['Dub', 'Techno']","['Electronic', 'Reggae']",5 Gate Temple
211,Marco Shuttle,Cobalt Desert Oasis,"['Ambient', 'Techno', 'Experimental']",['Electronic'],Incienso
212,Marco Shuttle,Ritmo Elegante,"['Ambient', 'Techno']",['Electronic'],Spazio Disponibile
213,Laksa,Sen On One,"['Techno', 'Dubstep', 'Dancehall']",['Electronic'],Timedance
214,Toma Kami,Sharp Tool in the Shed _ Land of the Insane,"['Deep House', 'Leftfield', 'Techno', 'Ambient']",['Electronic'],Livity Sound
215,Notte Brigante,NB01t - HLM38 _ UVB76 _ The Idealist _ Lo Kindre,"['Industrial', 'Dub', 'Experimental']",['Electronic'],Notte Brigante
217,Silent Servant,Negative Fascination,"['Techno', 'Industrial', 'Ambient']",['Electronic'],Hospital Productions
218,Objekt,Objekt #4,"['House', 'Breaks', 'Techno']",['Electronic'],Objekt
219,Objekt,Objekt #5,['Techno'],['Electronic'],Objekt
220,Joy Orbison,Off Season _ Fuerza [HINF8679],"['Techno', 'Breaks']",['Electronic'],Hinge Finger
221,DJ Heartstring,Sensual Hits Volume 1,['Techno'],['Electronic'],Not On Label
223,DJ Heartstring,Sensual Hits Volume 3,['Techno'],['Electronic'],Not On Label
224,DJ Heartstring,Teenage Dreams,"['Trance', 'Hard Trance']",['Electronic'],Teenage Dreams
225,VA,Thick As Thieves,"['Techno', 'Experimental']",['Electronic'],TXTRL
226,Kuzma Palkin,Omnia Vanitas,"['Techno', 'Jungle', 'Minimal', 'Leftfield', 'Thug Rap']","['Electronic', 'Hip Hop']",Lowlife Cartel
227,Solotape,Omnia Vanitas,"['Techno', 'Jungle', 'Minimal', 'Leftfield', 'Thug Rap']","['Electronic', 'Hip Hop']",Lowlife Cartel
230,Slacker,Damage To Be Undone,"['Techno', 'Ambient', 'Jungle']",['Electronic'],Soft Raw
231,2Beast & Ko$te,Omnia Vanitas,"['Techno', 'Jungle', 'Minimal', 'Leftfield', 'Thug Rap']","['Electronic', 'Hip Hop']",Lowlife Cartel
232,Pawel's Bar,Pawel's Bar - Cantina,"['Dub', 'Downtempo', 'Leftfield', 'Future Jazz']",['Electronic'],OK SPIRIT
233,PML BEATZ,Pedra de 800 Kg,['Kuduro'],"['Electronic', 'Folk, World, & Country']",Príncipe
234,Yung Beef,Perreo de la Muerte 2,"['Trap', 'Reggaeton']","['Hip Hop', 'Latin']",La Vendicion
235,Commodo feat. JME,Shift,"['Grime', 'Dubstep']",['Electronic'],Deep Medi Musik
236,Ats,Slack,['Electro'],['Electronic'],Streetwise
237,Dogpatrol,SNKRX04,"['UK Garage', 'Bass Music']","['Electronic', 'Hip Hop']",Sneaker Social Club
238,wzrdryAV,Midnight Visions,"['Ambient', 'Dub Techno', 'Downtempo', 'Field Recording']",['Electronic'],Accidental Meetings
241,Branko + PEDRO,MPTS,['Bass Music'],['Electronic'],Enchufada
242,Debmaster,Crocodiles Homieees,"['Juke', 'Bass Music', 'Hip Hop', 'Instrumental']","['Electronic', 'Hip Hop']",Hakuna Kulala
243,Hypho & Rakay,Round Ere,['Bass Music'],['Electronic'],81
244,Franco Franco,Solo Fiori,[],['Hip Hop'],do you have peace?
245,Audrey,Spanka Clawz EP,"['Acid', 'Electro', 'Breaks', 'Techno']",['Electronic'],Scuffed Recordings
246,Nah Eeto & Sumgii,Wanawake,"['Hip Hop', 'Bass Music']","['Electronic', 'Hip Hop']",Swamp 81
247,Piezo,Piezo,['Bass Music'],['Electronic'],81
248,Piezo,ANSIA004,"['Techno', 'Broken Beat']",['Electronic'],Ansia
249,Pugilist,Blue 06,"['Breaks', 'Bass Music']",['Electronic'],Whities
250,Pugilist,Negative Space,"['Breaks', 'Dubstep', 'Techno']",['Electronic'],Of Paradise
251,Pugilist,Pugilist - Cha _ Syncopate,['Dubstep'],['Electronic'],Modern Hypnosis
254,Warehouse Rave,Soul Mass Transit System - Don't Hold Back EP,"['UK Garage', 'Speed Garage', 'Bassline']",['Electronic'],Warehouse Rave
255,Andy Mac & Ossia,Soup Riddim _ Cado _ Linguine,"['Dub', 'Dancehall', 'House']","['Electronic', 'Reggae']",No Corner
256,JoeFarr,Spectate EP,['Techno'],['Electronic'],Leisure System
257,Sockethead,SPORTS 3,"['Experimental', 'Abstract', 'Breaks', 'Leftfield', 'Grime', 'Illbient', 'Ambient']",['Electronic'],Youth
258,Anunaku,Stargate EP,"['Breakbeat', 'Techno']",['Electronic'],3024
260,Bicycle Ride,STAY FAST VOL. 1,"['Ragtime', 'Dixieland', 'Swing', 'Big Band', 'Bop', 'Boogie Woogie', 'Dark Jazz', 'Delta Blues', 'Chicago Blues', 'Electric Blues', 'Memphis Blues', 'Rhythm & Blues']","['Jazz', 'Blues']",Membran
261,SKREAM,Unreleased Classics Vol.1 2003 - 2003_,['Dubstep'],['Electronic'],Not On Label (Skream Self-released)
262,King Doudou,SURRENDER,['Dancehall'],"['Electronic', 'Reggae']",Not On Label
275,Glances,Stay There EP,"['Techno', 'Leftfield']",['Electronic'],Scuffed Recordings
276,XXIII,XXIII __ 150,['Baroque'],['Classical'],Phonotechnik Boesel + Oswald
278,XXIII,XXIII __ VOLUME 3,"['Breakbeat', 'Hardcore', 'Techno']",['Electronic'],R & R Record Review
279,XXIII,XXIII __ VOLUME 5,['Renaissance'],['Classical'],Brilliant Classics
280,XXIII,XXIII __ VOLUME 6,['Experimental'],['Electronic'],Kirigirisu Recordings
281,XXIII,XXIII __ VOLUME 7,"['Field Recording', 'Noise']","['Electronic', 'Non-Music']",(11.5)2 Anti-Music
282,XXIII,XXIII __ VOLUME 8,"['Noise', 'Field Recording', 'Lo-Fi', 'Free Improvisation', 'Dark Ambient', 'Abstract', 'Experimental']","['Electronic', 'Jazz', 'Rock', 'Non-Music']",Autonomous Individuals Network
283,Blade,Evil Forces EP,['Drum n Bass'],['Electronic'],Vibez '93
284,Coco Bryce,Coco & The Cat Return (CITB007),['Jungle'],['Electronic'],Cat In The Bag
286,Forest Drive West,Jungle Crack EP,"['Drum n Bass', 'Jungle']",['Electronic'],Rupture London
287,Forest Drive West,Persistence Of Memory,"['Techno', 'Drum n Bass']",['Electronic'],Hidden Hawaii
288,Forest Drive West,Set Free,"['Drum n Bass', 'Jungle']",['Electronic'],Rupture London
289,Forest Drive West,Dualism EP,"['Dub Techno', 'Techno']",['Electronic'],Livity Sound
290,Forest Drive West,Blue 05,"['Experimental', 'Techno']",['Electronic'],Whities
291,Forest Drive West,Static _ Escape,['Techno'],['Electronic'],Livity Sound
292,Forest Drive West,Apparitions,"['Deep Techno', 'Ambient']",['Electronic'],Livity Sound
